"Timestamp","RSN (optional)","Please rate your enjoyment of the event 1-10. 10 being the best. ","How likely are you to participate in another EG event in the future?","Did you feel welcomed and included throughout the event? ","What are your thoughts on the website and integration? This could be anything from UI/UX, submission process, discord integration.","What did you think about the style of this event? (competing for highest points vs racing to get all the nodes done)","How do you feel about the balance between Skilling and PVM?","Was there a specific moment during the event that stood out as particularly fun or memorable? ","What would you like to see in future EG events?","Do you have any additional thoughts or feedback you would like to share?","Would you like a staff member to reach out to you about the event? (requires your rsn)"
"2026/03/15 11:43:22 AM MDT","Dxjongen","10","5","5","Site worked smooth, clear what drops too get and loved the little sounds when someone submitted something","I like this, because everyone can contribute at the time availeble and not just at the start.","I wanted more Skilling","Trying new content","","Would love to know the requirements for certain tasks at the start of the event. Like it is useful to have certain quests or diaries completed when needed for tasks","No"
"2026/03/15 11:59:02 AM MDT","0wnedTom","10","5","5","Loved it, worked really well and any issues that came up were resolved really quickly","Really fun, made it feel really strategic","There was a good balance of Skilling and PVM","So many, 3 of us grinding KQ for hours and slowly going insane. Rolling up with 7 of us to Bandos only to get the drop in 9kc. Fedoras. ""The drop is worth more than your life"" The final push at Nightmare to clear the final tile","Just more! I had so much fun","I loved it, thanks so much for organizing and building it all! <3","Yes"
"2026/03/15 12:18:37 PM MDT","","8","5","5","perfect","i liked this more than a bingo","There was a good balance of Skilling and PVM","just any time we were in a big team voice chat grinding content, havent had that experience on osrs before","","ultimately it wasn't a race, so maybe it's not too important, however it was quite apparent the team balancing was a bit off. i think at one point hole heredit had 60+ more ehb than every one else. you could have taken their top ehb player away and they would still be top.
i don't think arax rax team really ever had a chance at earning the most gp with with them only having 1 elite top level pvmer who wasn't able to play as much as others.","No"
"2026/03/15 12:21:55 PM MDT","","9","5","5","Maybe show all available nodes, and which ones we have to do to unlock a new one. ","I like it","I wanted more Skilling","","yes","The more bingo rush is hosted the more you can balance how it works. Some medium nodes were basically just as difficult as the hard. I also feel like the event is hard to make noob friendly, since a majority are end game bosses. I understand that its a ""Rush"" so your team wants to unlock new nodes ASAP, which means the max combat max gear team members will do bosses 2-3x times for efficiently. So maybe if we can see all nodes in the beginning, there can potentially be some nodes (that don't unlock a new node) where noobs can work on it with less rush. Also, suggestion to have different ways that drop nodes can be completed. Example: Vorkath drop, need 10 drop points where:  visage/pet/jar count as 4 points, head counts as 1. Maybe something like this where even if you get super unlucky, your team can still complete the node with a bunch of 'easier drops'.","No"
"2026/03/15 12:34:50 PM MDT","","10","5","5","Very good, could be a little confusing trying to find the new nodes.","Enjoyed it way much for the fact that gp collected during would be what the team would bring back, prevents being discouraged when you are last","There was a good balance of Skilling and PVM","Doing ToA with the team","","Adding a link to the wiki for the bosses","No"
"2026/03/15 12:44:27 PM MDT","Oshdale","8","5","3","The map is unreadable I'm sorryy, the lines don't make any sense or have a clear way to read them from A to B, it's not clear which nodes will open a path either. Ended up always using the list! 

Missed a lot of filtering options as we got up to like 50 nodes up at once, but thanks to quick win fixes some changed made it easier! 

A few of what seemed like first run errors with some items shown as counting (but weren't) made it a bit awkward at first (thankfully we often got the same tiles so it stopped being a problem lool). 

Submission process was super easy and smooth on the user's end, however I felt throughout the event that it was really hard to track what was done and approved for something in progress (the progress bar on the site which was hotfixed wasn't always updated). The bot channel was VERY cluttered between : 

Post 1 : Submission with screenshot
Post 2 : Submission review with screenshot
Post 3 : Submission approved 
and post 4 : Tile completion with a huge GIF 

It was also hard to keep track of progression on the website as you could have a medium 100 KC node for Artio and a hard 200 KC node for Artio, but get lost in which is under progress if the team isn't too communicative. 

I don't think the review post needed to send a screenshot and the gif was a lot of noise in the channel for visibility, maybe a second channel where only approvals/completions are posted so its not mixed with progress would have helped?  ","For me this was an EXCELLENT event idea, but I think this first run shown it's biggest flaws being ""just do the hard nodes"" to win. The winners both only did 5 and 6 non-hard nodes, which to me ruins the whole point of the style of the event being to choose between 3 difficulty and allows flexibility. 

I do not think racing would be the answer as this first run shows that most team can get close to clearing the board in time (or before) by only doing the ""hard"" modes, however I do think a fine middle ground between racing how many nodes can be done vs how many points they each give could be found. What is there was 200, 300 nodes? Something WAY TOO HIGH and which we aim to not expect a team to finish as to encourage diversity? Do we aim to get 100 hard nodes done for 3 points each or do we try to aim for a mix of 150 nodes with medium and easy sprinkled in? 

I think the balancing of the nodes were also off, I don't think for this format that it was the right path to go with ""Easy RC 500k"" and ""Hard RC 1100k"" or 1 drop for easy and 4 drops for hard, maybe it's a simple matter of wording ""short, medium, long"" instead ? ","There was a good balance of Skilling and PVM","When lemon joined our team and instantly got more loot than half of us in a single night ??? LOLLLLLLLLLLLL","I ABSOLUTELY LOVED THE DIVERSITY OF CHOICE THE EVENT HAD, I hope future events keep this going !! However I would love to see more balanced choices where considering going for the easier/shorter nodes are worth it as a long run investment for point compilation or whatever rather than ""how many points can you get out of 100 nodes"" kind of. I think even having a ""GM"" node would be interesting? Maybe having a ToB/Nex tile would be an option the team can go and learn with a mentor or we can always  fall back to the hard Yama or medium Giant Titans loot, flexibility of choice is so fun in a big team !

MORE MOLE PLEASE I BEG FOR MY NESTS AND MY BREWS. ","I feel like there was a big missed opportunity to use many different content, for example I don't think we've seen mole at all and I can only recall Yama being present once, where as we kept chaining DT2 bosses and wildy content. THIS IS NOT ANOTHER WILDY WHINEY POST, however with 100~ nodes with 3 choices each, that's 300 different options and a lot of opportunity missed there. 

In another idea, I also think it's a bit of a shame the areas weren't used more for thematic nodes! A Duke tile on ape atoll and another one at port phasmatys was not only redundant, it also just *feels* odd. Why am I not doing something monkey related on Ape Atoll like getting Zenytes, doing agility or something like that. Just food for thought immersion wise! 

Maybe the whole generating nodes randomly thing should have a cap for each bosses so there's a better mix of everything?  ","Yes"
"2026/03/15 4:34:10 PM MDT","","10","5","5","The website is great. Mabye just a little cleaner bot integration, did not get to use commands for bot, also it felt like too much information, bot prompts between posting screen shots, it being approved etc. just a condensed format so can appreciate teams drops a bit more than it being overlooked by another text book saying its approved or denied etc. The website is wonderful, loved the addition of all tasks avaliable mid event to see everything more easily. ","It was great, loved that it was different from normal, and you can win with strategy as oppose to being the first or having the most gamers on your team. Would like to see more of this.","There was a good balance of Skilling and PVM","Playign with the team and seeing good drops to finish what team needed","I thought the event was great, the website was great, run very well. Few helpful comments that can improve future events: 

- Some of the refs were far too serious about screenshots, this was fixed in closer to end of 2025 but up in recent events. Some of the refs caring far too much about denying screen shots when drops are clearily visible in clan chat or collection log, totally unnecessary, just a fun casual event event, why do this. Not every ref, just a few being far too nitpicky for no reason. 

-Team balancing: One of the team had all the mega gamers while everyone else only had 1 or 2 at max out of 15/16 people teams. It was evident from start to the end, the end gamers should of been spread out more from that team. My team had one guy carrying us hard but no one else, I even felt bad for them and tried my best. The carry players needed to be spread out from that team a bit more. While every team will have newer players in their osrs journey, it did feel like we had been many of them compared to other teams, really limited our chances of winning. Just balancing and spreading players around more would help this. I think timezones were taken into consideration which did help team coordination so that was great. 

- Team strategy: Would really like to see more private chats, I think its in the right direction since winter bingo but not a fan refs that are playing and not on our team being able to see our chats, really can't strategize in our team chats cause of this, have to spend time in voice chat just to avoid leaking strategies. While im sure most refs try to remain impartial, its hard to do while you're competing and trying hard to win and being a ref. Also some of the refs lurking and trying to distract after finishing the event themselves. I think refs that are not playing should see all chats, while if there is questions for other refs playing, they can obviously ask in the banter channel etc, this will really help with the flow of strategizing without being only able to do it in vc or other formats. ","Met new people and had a lot of fun 10/10 event. Few comments that I think would make even more enjoyable. 

- Far too much wildy content, luckily our top player did our wildy nodes but there was way too many. It could of been spread out with different bosses, there were far too many bosses not in the event, eg mole, krill, armadyl, scurrius, kbd etc. It would been better to see those bosses and have variety of different content. Also why is challenged mode chambers there, and not normal, should be able to do both for purples. My team did not have people for this, also why is inferno there and so many nightmare tiles. My team didn't want to do these so we automatically lose the event from day 1 after team balancing. I think over duplicate nodes, it would be better for a variety of different content, bosses, and skilling that never made it, there was a bunch of skills that never made it either. 

-I think changing the nodes to actual difficulty might be better. For example easy would be 1 scurrius drop, medium is 5 and hard is 10. Like the tile is the same boss but harder difficulty of the tile, it could be different drops from the drop table of the boss. It felt like sometimes the medium were harder or would take longer than the hards sometimes. 

- I really liked that roulette event that you guys ran, with the dry protection system. It felt really bad when you went dry for drops here, it would been nice if every node was like get x drops or x kc, instead of having multiple tiles of the same boss but one is kc and one is drop. This would be far more enjoyable. 

- I liked the buffs, wish there was some different ones or different mechanics, like you can trade key or something else, another currency for to get buffs mabye. Also more ideas for different types of buffs. In the middle of the event it kind of felt stale, doing the same nodes over and over, hoping for buffs and inns to show up. I liked the gold event with those mystery challenges, it kept me thinking about those myster bosses, also the roulette event with the team building challenges, it keeps something interesting for every day. Mabye there could of been a challenge and the team that wins gets a reward. I did like how all teams had a different map so everyone was playing their own game as oppose to knowing what nodes are next, not knowing what nodes are next was fun. 

The leaderboards was great, loved seeing it update, the sound it made was nice, liked the fortnite dance, the website was smooth, even creator did a really good job. 10/10. ","No"
"2026/03/15 7:12:56 PM MDT","","9","5","5","Happy with the website and integration and look forward to using it again in future events. Only feedback would be that I would have liked a search bar to navigate to tasks easier than having to scroll through sometimes 50+ nodes to find a particular node. Sometimes the area nodes would glitch out and split up from one another (e.g. G.E easy and medium together, G.E hard is somewhere else).","This was definitely the right call. It added more strategy around completing lower difficulty nodes for buffs. Also, it served as a protection from teams quitting early because another team was very clearly going to finish before everyone else.","There was a good balance of Skilling and PVM","The whole event was fun :)","There were some major positives about how this event was designed that I think should be the standard going forward in PVM/Bingo related events.

1. Having choices as to what node/tile you can complete was a major positive. Not being forced or locked into content that you don't like (e.g. wildy) meant that you could actually play and contribute without being miserable. I think incorporating this philosophy in future events means you can open the floodgates with basically any content, as you will always have the option not to do it (e.g. TOB, GM CA's, minigames such as LMS etc).
2. In addition to the above, not having to lock in a selection was great as you could pivot your approach if required (think bad RNG or going for a node with a buff that you now need).
3. Having an 'everybody wins' reward keeps teams motivated to play out the event as they can still gain even though they aren't going to win. Winner takes all events I have been a part of tend to fall off quite hard when it is clear who is going to win, which dampens the fun of the event. ","This was probably the best event I have participated in so far in EG, really great job by Lemon and the events team on pulling this one together. 

Only other thing I would like to mention is that the team balancing was really off with regards to 1 team in this event. It wasn't too devastating seeing as it wasn't winner take all, but it took a little spark out of the competition when there were 4 well balanced teams quite close together all event and 1 team stacked with GM's and massively experienced players absolutely running away with the event. I understand team balancing is difficult but that really shouldn't be happening again. ","No"
"2026/03/15 9:04:56 PM MDT","Lyreth","9","3","5","Show on your profile your current events instead of having to go through several menus to get to it from page -> see live events -> my events etc etc","Highest earned is good, tie breaker funky but still interesting. Maybe change the logic to have easy nodes worth 10% less and not have 2 mediums equal 1 hard + 1 easy","There was a good balance of Skilling and PVM","Last 72 hours of Dryofightas just blasting out nodes. Also that one friday where we blasted 14-15 nodes in 24 hours.","Events are good, theyre very unique compared to most clans who just do bingos of the month/week/year etc.","I've already had some discussions about the team balancing with the holesha so I wont gripe too much about it. All things considered, I think the lads had the best balanced team who didnt have 1 person hard carrying their EHB like Tijl, Huffle, Aggressive, Naga. Outside of how absurdly stacked heredit was, the other 4 teams were pretty well on par it felt like.

The concept of choice was presented but didnt really feel like it because there was still a win condition of making the most gp nets you even more. If the whole pot was up for grabs then I feel like choices would matter because it would come down to completing all nodes but thats just my thoughts.

My main negative takeaway from this event is I played about triple the hours I wanted to just because of how things played out with teams. I set aside about 8 hours on the 2 inferno nodes but idk how many people on my team wanted to do it or were even capable to do so(boils down to the 'choice', we didnt 'have' to do it but theres no way we wouldve gotten to tie if it wasnt done). Wildy tiles felt fine, the multi version KC was crazy fast compared to the singles KC but it is what it is. 

I did love reffing side of the event, a lot of it felt really nice on the website and the constant updates and fixes were really on point, so I might do that for the next few big events instead to focus on my iron.","No"
"2026/03/16 10:19:44 AM MDT","","7","5","5","Website and integration was phenomenal all the way around, truly well done lemon! It can be  hard to balance all of the information a game wants to show you, AAA titles struggle with this shit haha

I think the biggest UI/UX gripe I had was just the map overall (this could be user error and me not fully diving into settings!!!). It firstly was a little laggy (welcome to osrs jank) but it was also just extremely cluttered. Is there ways to toggle specific teams? Is there ways to see which node was starting and order it went in? General hiding of other nodes that are completed or just chosen by user to hide?

Discord and submission process was great. Adding the ""task list"" was one of the best additions during the event.

For the submission string and the string that is presumably generated at the event start for the codeword, make it more fun / funny maybe? BRAVE_2442 is a bit ehh seeing that on screen, and I would also assume there would be easier ways for a string for submissions - instead of "" evt_mmcvxm6q_node_203"" can there be set keywords that can be randomized to make it cleaner? ""gr_yama_eat_pizza_420"" for yama type submissions etc.

Super small things that don't really matter in the long run, just thoughts!","I like that it is highest points for this event since that seems to be the purpose, the only thing I ever say with events is that it sucks when either 
1) the winning team is ""decided"" before the event time actually ends or 
2) it is impossible to catch up as a team / the team has such a large lead.

Having an infinite amount of nodes that teams can complete (these can be random/even a choice of nodes) or a board that is extremely unlikely to be completed would probably work better for a set time event and when balancing gp/time. Players can play different days and times, always a balance. Then it is a decision of what nodes to complete, how long to spend on each, what is unlocking what, etc. and not how fast can we 100% the board. Either way, the game works, its just one way or the other I think. Or even modular and make both work eventually :D

With this style of event as well, I think the biggest struggle is balancing nodes (easy, med, vs hard) what they are worth gp wise, and how many of each kc/drop to get. I know you already know about the keys/inns situation being too much.

The biggest issue I had with the event is that it kind of is an illusion of choice for the team/players (in reality, you had to do a LOT of hards to win this event, most of the time it felt like playing catch up to team #1). Like previously stated, the game can be calculated a bit too easily on who will win once it gets down to last days. Potentially adding more variance to things could be helpful, whether that is nodes, kc length, or something. 

Choosing nodes (they are all blank when shown, but have X amount of options on regions to go to)? Unsure how it fits into the game but... I do not even know how the nodes were unlocking to begin with, it felt random. Even getting down to wire a couple hours before the event was ending, another node unlocked which felt very odd. At that point at 90%+ board completion, maybe all the nodes (minus maybe one large, final team node) is revealed? Or when last 24 hours full board reveal? 

I think with the nodes as well, you can really expand the skilling reqs to match the harder boss kcs. There are skilling drops from bosses too that players can go for and can be harder nodes. I think it gets a little stale when it is just a lot of boss kc's/drops for hards and very little skilling / other fun activities. Even going to minigame outfits as a team or something! You could put skilling reqs from 1.2m > 5m and I genuinely don't see an issue, especially with the buffs you get. Team size, afk potentials, event time, etc are all important with the levers for each node as well.

SORRY THAT WAS RAMBLED AS FUCK","I wanted more Skilling","N/A","Maybe something to do with leagues upcoming, and dedicated skilling bingos would be awesome too! ","N/A","No"
"2026/03/16 11:20:02 AM MDT","Bram bo","9","5","5","The website is amazing! Of course it gets better the more it is used and there are some point of improvement, but what doesn’t. There is a perfect baseline which gives a good baseline to go further. ","I enjoy the style. I think it is inportant to have a mix of both in the clan. ","There was a good balance of Skilling and PVM","The moment for me was Vex getting 100+ lvls this event and helping us wherever possible even tho they were not able to do any content on the pvm side. Also the team assembling and realizing, we can still catch up with the no1 even tho we are “far” behind.","It is a hard thing during events, but even tho we try to create tasks and teams to try and get learners going for new content. The event often turns out to be something where a lot of efficiënt routes are taken and learners are afraid to ask to be taken along. It is something hard to solve and I dont have a clear solution since it is also something that has to come from the people who want to learn","Overall I think the event was balanced. Some tasks seemed hard and frustrating to me at first, like get 4 drops at vard for example, but then I realized we have a team of 15 players and we have 10 players who can do it. That puts things in a different perspective. We tend to take tiles to 1 person but it is team event. Looking at it like this made the frustration go away because you dont have to do things alone. That is also what stood out in our team, we were a TEAM and we talked with each other. No one was tasked with something alone and help was there when needed.","Yes"
"2026/03/16 1:28:49 PM MDT","Spihana17","8","5","4","The website mechanically was SICK.  Everything was intuitive, and worked.  ","The style is good.  The length was imbalanced.  If we're competing for points, then it's very bad if completing the hardest path at every choice and finishing is possible.","I wanted more Skilling","SIMON!  - taking an unofficial leadership role was fun and stressful.  There were definitely times I was nervous I was monopolizing decisions or drowning people out.","More big tech-integrated events broadly like this one please!","Balance - this event missed by a factor of 2.5-3.  There are a ton of ways to fix this (shorter event, harder tiles, more tiles, or any combo).  This forced teams to just do hard tiles as soon as they figured it out, and removed all choice and strategy.  We couldn't just do the medium for a wildy tile nobody was happy about.  If we did that we concede the event. Fixing balance fixes that.  There wasn't enough clue scrolls or skilling, and the clue scrolls were badly undertuned.  Formal captains might work well with larger teams - there were a couple times I wanted a ""captain's lock"" on a submission we weren't doing.  The event was genuinely huge fun despite the balance issue.  That's a testament to the resilience and merit of the format. ","No"
"2026/03/16 3:56:47 PM MDT","Hufflepuff","9","5","5","What the hell is this coding language? Website was beautiful. Props to whoever made that :o","It's nice because teams that aren't as stacked have more time to finish and still have a chance to win. Although I also enjoy a race style event","There was a good balance of Skilling and PVM","Arvio not trying to pk me for once","Just more bingos ","Two of our members tried to cheat screenshots, me no likey.
Also, stop putting me as seed number 1. I said I wanted to play less, but can't if I keep getting put as a 'carry'. I know I've put in alot of hours past events but I'm trying to tone it down. ","Yes"
"2026/03/16 4:12:23 PM MDT","pirate kanye","8","3","5","after the initial bugs and hotfixes, plus the updates that were made (list view of tasks was a godsend!), the site itself and discord bot use was very good. some places for improvement, but nothing game breaking that needed addressing this event. more long term/future improvements when time allows. unsure if there is a suggestions channel somewhere to post? let me know if there is.","interesting way to do it, just sucked for teams who went dry on drops as not able to necessarily complete as many hard tiles due to crap rng, resulting in less points earned.","There was a good balance of Skilling and PVM","","wildy bosses in pairs, rather than one or the other - calvar'ion OR vet'ion for instance. drops required could be the same (longer but ""safer"" grind at calv) but KC could vary between the two as able to mass the harder ones (80 vs 200?). jsut to give people the option of being able to do one of the other, especially if unable to get a team together to go mass.","some members of our team were quite blatently trying to scam the system and cheat. 

also had members not participating, despite being online and actively playing on other accounts rather than the one signed up to the event. i have ss proof of the not participating, happy to send over to whoever is interested. 

also happy to discuss the trying to cheat situation if wanted.

overall a great event, like that every team won something rather than just 1 or 2 teams. gave everyone a reason to try and grind as much as possible. planners and refs were, as usual, great, so ty all :)","Yes"
"2026/03/17 9:53:00 AM MDT","callalillly","7","5","4","I know nothing about code, so I thought it was pretty fuckin cool tbh","I feel there needed to be more incentive to choose med/easy options. It felt we were pushed towards only hards giving the illusion of choice. ","I wanted more Skilling","Huey with Kay will always be a highlight! I love small/(ish) group events because it gives me the opportunity to interact with different people. ","I'm super excited for the skilling bingo coming up! That said, I may be one of few, but I think more skilling challenges in events are never a bad thing. Especially since most events are a battle against work schedules, it's nice to be able to contribute some while being stuck working. ","","No"