"Timestamp","How was your overall experience during the event?","Did you feel that the teams were fair and balanced?","What do you feel would have been better for team sizes?","How do you feel about the current event format using the Discord bot? What did you like, what felt confusing or clunky, and what would you improve for future events?","Was there anything, positive or negative about the event in general, that you'd like to share with us?","Was there a specific moment during the event that stood out as particularly fun or memorable?","Did you feel welcomed and included throughout the event?","Any additional comments or feedback?","How likely are you to participate in another clan event in the future?","Would you like a staff member to reach out to you about your concerns?","Optional:  If you answered yes to the previous question, please share your RSN here or DM a Leader on Discord."
"2025/08/23 11:30:30 AM MDT","5","3","Team Size was fine I think I enjoy 1-4 at most","It was fun, took a little getting used to at first but easy besides that","Really appreciate all the effort put into the bot and lore and event in general. ","Just having the opportunity to try out new content!","5","","5","No",""
"2025/08/23 11:31:10 AM MDT","5","4","6-8","Felt much better than when having to wait on refs to have next quests (like in mario party)","Bot is huge positive, restrictions and theme were really cool, not having leaderboard felt a bit bad, you never knew if you were doing good or not","Start of the event, doing bosses with T40 gear and seeing other teams everywhere","5","","5","No",""
"2025/08/23 11:32:14 AM MDT","4","5","4","quite cool. ","was a good experience for me","aggy and his spoon","5","great job everyone","5","No",""
"2025/08/23 11:34:42 AM MDT","4","4","4 is good","I do like regular bingo boards over the quests so i dont feel stuck doing 1 thing if im unlucky","The event was fun while I was active!","Lemon offering to help with my wildy bosses lol","5","Ugh.... it did suck that 1 teammate of ours was gone the whole even and a second 1 was only active roughly 5 hours out of the whole thing :( really made me demotivated to even finish the event or even try ngl. I left a bad taste in my mouth.","5","No","Pexi"
"2025/08/23 11:36:28 AM MDT","5","2","5-6","Very fun and allowed us to go at our own pace","n/a","LOOT!","5","n/a","5","No",""
"2025/08/23 11:45:22 AM MDT","4","3","Sizes fine half my team just stopped after the first few tasks ","I enjoyed it a lot","Half my team not participating sucked but that's not any of the organizers faults.","Duo Zammy with Soul. And just us two dad's with jobs trying to make the best of it.","4","","5","No",""
"2025/08/23 11:49:10 AM MDT","5","4","5","Very well created bots, smooth, and easily understandable/operable","Insanely well curated event creators and refs were all on point. Very creative and on the ball.","All the conversations, new friends Ive not interacted with before, and new content I learned","5","Had a Blast! Good job gems ","5","No",""
"2025/08/23 11:53:38 AM MDT","2","1","8 players per team, with every team having at least one non-iron player with a megarare","The discord bot was fine","The early tiles and dry protection for those tiles was good design. The flare system needed work. Locking it behind frequency per quest was fine to prevent teams from abusing it, but it needed to unlock after X amount of real hours so that teams didn't get stuck on a tile for 77 hours. Being stuck on the first ToA tile for over 3 real-life days was an actually miserable experience that completely soured my attitude about this event, and future small-team events moving forward. Given some of the elitist responses I heard about from other members of my team expressing similar sentiments, I don't have much faith in the event team when it comes to actually balancing these types of events moving forward.

Clearly, these events are aimed to cater to a more elite category of pvmer with access to better gear who can push raids at higher levels and clear them faster.","I'm sure there was, but it was largely over-shadowed by how negative the experience was at the end. By the time the event ended, I was only participating because I didn't want to receive an event strike, not because I was having fun.","2","The lore and story were fun, and the quest descriptions were humorous. The bot and palico were a cool addition. The balancing on team composition was poor, and the inconsistency between some tiles being ""dry protected"" while others weren't was awful design when combined with a flawed flare system that allowed teams that were ahead to continue using them while teams that were actually stuck and could have used a flare had no recourse because they needed to flare ""recently"".

I know my criticism comes across as ""salty,"" and I'm sure some of it is salt-induced. It's not about ""losing,"" it's about the way we lost. This event was pitched as having a way to avoid getting stuck on tiles, and then the system that allegedly fixed that issue did nothing to stop my team from being stuck on the same frustrating tile for over 3 days. We ended the event no closer to finishing that tile than when we first started the quest. That is objectively bad design when you consider how many hours our team spent trying to make progress.

Find a better balance between luck vs effort/time participating. This event gets 2/5 stars for me, I would not want to do it again without changes to the event mechanics and several quest tiles.","2","No",""
"2025/08/23 12:02:51 PM MDT","5","5","N/A","It was fine","Everything was great","Flares going up and having anyone help. I loved that","5","It was truly amazing and fun!! ","5","No","N/A"
"2025/08/23 12:21:47 PM MDT","5","4","4 is scary small.  a great player or a no-show are huge balance breakers.  It worked from my perspective, but bigger is safer.","Discord bot was amazing.  10/10, keep using it.  I wish there was a way to share progress cross-team, but that's about it.","Extremely well run event.  The only thing I'd say is I'd like a better safety valve.  I was functionally sidelined for days because our team had planned out the flare and I couldn'y help with the current quest.  I'd say doing a lot (5 EHB maybe) of a low level boss should give you an extra flare/unstick/call for help.  If I could've been kiling mole to get my team help on the CA task that would have been better than doing forestry while completely helpless.  Wildy tile was well designed, but too big.","The huey spoon as a team was a big momentum shift for us.","5","Thanks for the hard work, it showed in the final product","5","No",""
"2025/08/23 12:22:20 PM MDT","4","4","","enjoyed it! thought it worked fine and liked the lore bit/cooking gifs/death gifs. ","I totally understand the idea of getting progressively harder however we had a teammate go very hard in the beginning so it felt like I was kind of thrown into the deep end straight from the jump. Probably a me issue and less of an event issue but just wanted to mention it. ","I did a LOT (but I also started out with basically 0 bossing/pvm). Getting the CG unique from the regular gauntlet well before rate felt good. I was able to contribute later in the event despite not being as experienced. ","4","This was my first event like this. It was a little stressful having the EHB ""requirement"" especially as I was one of the least experienced in terms of starting EHB. AFAIK it only tracks successful kills and I spent a good amount dying/learning (I could be wrong but I think thats how it works). Not sure I would want to do another even that would be tracked like that in the future at least until I have way more reps under my belt. Again - probably a me issue but something I felt. ","5","No",""
"2025/08/23 1:48:48 PM MDT","4","4","5-6","it was amazing","I dont mind the harder content at all but since my account can't do late to late mid game bosses at the moment (wich is on me) it wouldve been nice to have had some low req tasks in the last few days too, i understand ofcourse the bosses got harder to the end but i couldnt help the last few tasks so basicly the last 1 day and a half.

Also the lore and theme to this event was fucking amazing you guys went all out and im in awe of what you guys accomplish on a volunteer basis. It shows you guys give it your best every time and you are amazing for it.","spending 18hrs at tormented demons with no drops to show for it, ill never forget that","4","SKIN NATA ALIVE AND BURN HER SLOWLY AFTERWARDS","5","No",""
"2025/08/23 2:08:17 PM MDT","2","3","larger maybe 8 to 15 if this many people","tldr: bot was good just a bit clunky and had to look up stuff several times

I wish someone pinned the help but in reality it would auto compete
Ngl not a bot problem but less text/ui dumps just felt like a lot of flavor text which is fun but made it hard to read
(more on prompt fill out than the bot)

wish it would auto list quests after completing
and when listing quests auto info
aka (chain commands)
","tldr: share more info before event
make event encourage more team content/interaction by design
make gimmicks less snowball

the ramble:
I wish board was more shared beforehand since personal don't enjoy gear restrictions and probably not going to super grind so probably wouldn't have participated if knew this

generally giving people idea of gimmick/general idea of board at least before buy in I think is nice and seen this done without literally revealing tiles e.g. these bosses or its more ehb/rng/or skill task based


I think teams probably more balanced on how much people expect to play and time zone matching better in small teams I think its super detrimental if someone is not on same time zone since then they have to just play solo

Speaking of soloing felt event was way to sol heavy 
this is partly a team/me issue 
but I feel like events should force you to interact with people and so many of the early to mid tiles encouraged/forced solo content and we never got past these

I think forcing you to technically also pot content in your team (believe there was a non enforced 50 percent of group has to be the team) is lame in small teams since can be impossible to get people on at same time so forced into solos

I think flares/help sound cool but also just is a win more mechanic since why would you ever use this if behind","
I thought staff was really nice during the event  overall and had several positive interactions
","3","
I think a lot of my negative could be alleviated by maybe when free or just better time zone matching with teams, maybe balance teams by people expected time to play, pairing teams with at least 1 person they know,

or just bigger teams fixes all this tbh","2","No",""
"2025/08/23 2:39:43 PM MDT","3","3","6-8 considering how many teams there were","Discord bot was fine, cool","Hated gear limitations. Made already tedious grinds more tedious, and several combat achievements impossible to attempt while doing the bingo","","3","Team didn’t communicate/commit a similar amount of time, which was frustrating","3","No",""
"2025/08/23 3:00:16 PM MDT","5","4","4 is good","I liked that it was quest based, but maybe let have more than 1 quest active at a time","Feeling quite positive about whole event 9/10","The gear restriction","4","","5","No",""
"2025/08/23 3:26:23 PM MDT","4","4","5","I thought it was fun","I tbh did not like having to do some of the bosses with low tier gear. I did not think that was fun.","Learning duo yama with a new friend.","4","","5","No",""
"2025/08/23 6:20:57 PM MDT","4","5","Small team were fine. ","loved it. Makes everything so much easier!!","That I didn't get that far during the event. Team went MIA real quick. Not your fault just wanted to vent :P","Right at the start, t40 gear was fun.","5","You all rock, we're not worthy of your dedications for these events.","5","No","Bobbyhiill. Just want disco to slip into my dms :eyes:"
"2025/08/23 11:27:13 PM MDT","4","3","6-8","No comment, the bot was great.","Positives: 

- Event was well organised and structured. Staff were prompt and receptive.
- The lore was fun (I recommend continuing doing themed bingos like this).
- Good mix of content in the bingo tiles. Plenty of opportunities to learn new content, and even re-attempt known content with weird gear (which definitely added to the fun). Definitely recommend continuing with gear restrictions in the future. 
- Good balance of kc & rng tiles. I would actually suggest leaning into rng a bit more as the event progresses, as it gives teams a chance to catch up to the top teams who are just playing 24/7. The x points/shards/kc or unique tiles are really good, more of those!


Negatives:

- Wildy RNG tile/s. Will only speak for myself (but I would imagine I am not alone), but I find wildy content to be really triggering. Understand that there is PvM content in the wildy that you would want covered in a bingo, but maybe keep it limited to KC only. 
- Team balance. To be honest I don't really know how you could do better in this space without increasing team size, this would have been challenging for you with teams of 4. From a competition standpoint, only a handful of teams could actually win this bingo as the scaling difficulty of tiles starts to eliminate players from contention. It felt like as the bingo went on that the entire event was placed on 1-2 people's shoulders on any given team, which in my case as one of those players was kind of stressful and made me feel like I had to play more than I wanted to. 
- Changing the CoX tile mid event. Understand this was just a mistake, but it was kind of bad optics as it appeared to assist 1 team more than others. 
- Flares. Not entirely sure how to explain how I feel about the flares, but from my perspective I don't think the system worked as intended. There were some weird things going on with flares, one example that comes to mind was when 3x teams flared the TOA unique tile, and for some reason the 1st flare got ignored and the 2nd/3rd flares got instantly taken. It just seemed shady. Also, from a competitive standpoint, there is no real incentive in taking another team's flair to help them. You essentially had to be on the same tile that someone else was struggling on, otherwise you would be hampering your team by not working on your active tile. There definitely needs to be a help system in place for team's that are struggling on a tile, but this one could have been better. ","No specific moment, I would say the event as a whole was great fun (with the exception of wildy). It was great to see teammates and even other teams complete new content for the first time. ","5","Will leave all of my feedback in the positives/negatives section. Might just use this one to say thank you to the event staff for all the effort preparing and managing the bingo. All in all, it was a very fun event and I look forward to seeing what new ideas you have for future events. Cheers!","5","No",""
"2025/08/24 1:33:33 AM MDT","4","3","Slightly larger, I think 6 is the minimum for randomly assigned teams. Teams of 4 work best if you are able to pick some or all of your team.","The bot was great! There's some minor quality of life improvements that come to mind like automatically ""selecting"" a quest when it is your only option, having a command to view my current quest info without needing to remember the name, and making the commands ignore case and punctuation.","The event was pretty damn good and most of my feedback is nitpicky. I appreciate the efforts of everyone involved.","The early quests where we had to figure out the best setups and strategies to kill bosses with the gear restrictions was fun. Actually killing the bosses that way isn't super thrilling but I really enjoy having to ""solve"" things.","3","
I'm a sucker for a theme and flavor but found some of the lore and such to be a bit excessive. For instance the flavor text for each quest was just extra words that I was skimming over while looking for the important info.

The details and information for the event could be organized and presented better. I found myself bouncing between the FAQ channel, the announcements channel, and the rules channel looking for the information I wanted.

Fashion Hunter and GemGram are fun additions for a social clan vibe and help provide additional fun without hurting anyone, +1 from me.

Having Refs/Mentors step in to help with teams near the bottom was awesome and still probably works well even with larger teams. A helping hand when struggling is a huge mental boost as long as it doesn't ruin the competition.

Flares were a good idea on paper to avoid teams getting stuck but in practice I think they damage the integrity of the competition. Bingo participants being able to take flares from other teams means they are either taking 1m to help another team that is at the same point in the event (sometimes at a disadvantage to themselves) or focusing on content other than their current quest. Some teams waited hours or longer for someone to pick up their flare whereas others made plans with a friend in the clan to pick up their flare immediately. Weaker teams are afraid of using their flare for fear of actually getting stuck later but any strong team with a real chance of winning the event should have been flaring often just for the increase in completion speed. Generally speaking I think any kind of helping-hand mechanic like this should somehow be locked behind being actually stuck or significantly behind other teams.

Check-ins and words of encouragement from refs are welcome but messages that are obviously copy-pasted into multiple team channels just feel hollow and inauthentic.

The requests for sharing the current standings during the event should have just been flatly declined or actually honored. I got the impression you guys were afraid to share the exact details for fear of the bottom teams getting discouraged but I find it silly to dance around the topic and then release only a partial answer. Either put your foot down and say that you think the experience is better when you're focused on only your team's progress or let people see the standings and learn to manage their shitty attitudes about not winning.

I might just be being a wet blanket but spammy/unserious messages going in the event's announcement channel is a pet peeve.

With the freedom of a bot-driven event I would have hoped to see some actual ""twists and turns"". The event was still great and well-crafted, perhaps just the marketing for the event got a little overzealous.

It seems like the event length was pretty much perfect and lined up very well with how long it took teams to complete most/all of the quests.

I don't think I have much more to say without knowing how EG members normally interact with events and what kind of goals yall have.

I hope nothing comes off as super critical, just sharing the thoughts I have. I really enjoyed the event and am impressed with the effort to make it happen.","5","No","Feel free to reach out if you want to chat - Superz"
"2025/08/24 1:02:20 PM MDT","4","3","maybe 6","honestly i liked the bot, first time using it. Felt it was pretty cool","Wouldn't call it negative, was just first time being gear restricted so it was a bit weird to me. More so curious is this how the clan normally runs bingo or was this just a special case?","inviting the clan member to be our third for huey, to then see him get the item his last kill lol","5","Just curious more so on the type of bingo/internal clan events ya'll normally do, is it usually gear restricted? The alting i understand as not everyone wants to play 4 accts at once lol. Also curious, do pvm like tob and pnm usually get avoided in these events? Or was it because of the small teams and weren't sure if everyone would be able to do the content?
Thanks for the event though overall was interesting and something new!","5","Yes","Surge Clouds"
"2025/08/24 7:20:28 PM MDT","3","3","5+ ","Discord bot was good, just would of liked to mabye have it another chat. it really took up a lot of space in the discord chat and made it hard to see the team chat. ","Pros - Flares was a good system, just wish there was people picking it up, at one point my team had their flare never picked up or left on for hours. Bot was good, but did not like having to feed the animal.  

I like how standings were not provided, it kept us running not knowing what stage other teams were and thinking we had a chance but a couple of my team was already demotivated at start of event 

Gear restriction i had mixed feelings about, it seemed interesting to kill bosses with limitations but its also not the most fun way do kill bosses, 

Good creativity and fun way to combine pvm content that I hadn't any sort of thing in my previous clan. 


Cons: 

new to this clan but it really felt like people outside the event had no idea what was going on or what we were doing, they didnt understand the quest system, it didnt feel as interactive as it could of been 

why were the screen shot rules so strict, when i joined the event, friend told me this was a social clan, not a hard core pvm clan. at one point i was spending more time with screenshots than playing the game. need to relax a bit on those. 

4 team size is not fun, my team only had like 2/4 people playing. also in small team size can't do any tasks that require other teammates. what do you do if your team can't do the tasks and no one can/has gear or has a irons that can't join you. not fun to solo and learn every single content, atleast with bigger teams some people can do different content and finish tiles, it just felt like we got stuck

Should of made the death thing mandatory, no one other than me used it my team. it would be fun to see how others were doing. also some of the refs felt like they were way to harsh, need to empathize with participants more, we are all trying to have a fun event to remember 

the timezone was not good or balanced correctly, my team was barely even on within my timezone


","Having to strategize on what gear to bring and learning range vorkath","3","good job for running the event - it was for sure unqiue from my previous clan events. ","5","No",""
"2025/08/27 5:51:24 PM MDT","2","2","8 or 10","The bot was amazing very helpful ","The event was uncategorized to starters people whom raid, even with 2 tormented demons uniques it was really hard to beat yama, The event stated that you only needed a whip, a runecrossbow and a trident , and you would gonna have rough times either way too .","Dying with team mates while learning yama","5","I am really sad and upset about the strike I received, and I also consider it unfair. I was not initially going to enter this bingo, but I was convinced to join. Although I participated a lot every day, we also lost days because we died often to Yama, and had many more days where we were just unlucky.

Just because the Wise Old Man didn't rise the points, doesn't mean I didn't help the team. With the basic requirements unmet (trident, RC, and a whip), the strike leaves me with a sour, bad taste and makes me not want to enter any more bingos or events at all.

This event should have been categorized as a hard event and not for starters to PVM. Even after all this, I hope you open more events for PVM starters and don't backlash them with strikes. PVM starters are at the front lines of the cannon, trying new encounters. They are here to escape from reality, have fun, and try new things—not to get strikes.

","1","No",""